Quantum 1,,,,,
Routers , LOCAL , EAST , WEST , NORTH , SOUTH 
Routers , LOCAL , EAST , WEST , NORTH , SOUTH 
Router 0 ,0,0,0,0,0
Router 1 ,0,0,0,0,0
Router 2 ,0,0,0,0,0
Router 3 ,142,0,0,0,0
Router 4 ,1,0,0,0,0
Router 5 ,142,0,0,0,0
Router 6 ,0,0,0,0,0
Router 7 ,0,0,0,0,0
Router 8 ,0,0,0,0,0
Router 9 ,1,0,0,0,0
Router 10 ,0,0,0,0,0
Router 11 ,0,0,0,0,126
Router 12 ,143,0,0,0,17
Router 13 ,0,0,0,0,126
Router 14 ,0,0,0,0,0
Router 15 ,0,0,0,0,0
Router 16 ,0,0,0,0,0
Router 17 ,0,0,0,0,17
Router 18 ,143,0,0,0,0
Router 19 ,0,0,0,0,110
Router 20 ,0,0,0,0,176
Router 21 ,1,0,0,0,110
Router 22 ,1,0,0,0,0
Router 23 ,0,0,0,0,0
Router 24 ,0,46,0,0,0
Router 25 ,0,62,0,0,33
Router 26 ,0,78,0,0,143
Router 27 ,0,0,0,0,94
Router 28 ,0,0,0,0,192
Router 29 ,143,0,0,0,111
Router 30 ,142,0,0,0,17
Router 31 ,143,0,0,0,1
Router 32 ,0,127,0,0,0
Router 33 ,0,270,0,0,49
Router 34 ,0,270,0,0,143
Router 35 ,0,270,0,0,0
Router 36 ,0,62,0,0,208
Router 37 ,0,0,0,0,254
Router 38 ,0,0,0,0,159
Router 39 ,143,0,0,0,144
Router 40 ,0,0,0,0,0
Router 41 ,0,0,0,0,65
Router 42 ,0,81,0,0,143
Router 43 ,0,176,143,0,0
Router 44 ,0,176,143,0,0
Router 45 ,0,0,143,0,176
Router 46 ,0,0,0,0,159
Router 47 ,0,0,0,0,302
Router 48 ,0,2,0,0,0
Router 49 ,0,113,2,0,81
Router 50 ,0,113,192,0,0
Router 51 ,0,159,97,0,0
Router 52 ,0,159,97,0,0
Router 53 ,0,159,95,0,0
Router 54 ,0,0,79,0,159
Router 55 ,0,0,0,0,302
Router 56 ,0,0,0,0,0
Router 57 ,0,126,0,0,0
Router 58 ,0,159,111,0,0
Router 59 ,0,159,17,0,0
Router 60 ,0,302,0,0,0
Router 61 ,0,302,0,0,0
Router 62 ,0,302,0,0,0
Router 63 ,0,0,0,0,302
Quantum 10,,,,,
Routers , LOCAL , EAST , WEST , NORTH , SOUTH 
Router 0 ,0,0,0,0,0
Router 1 ,0,0,0,0,0
Router 2 ,0,0,0,0,0
Router 3 ,0,0,0,0,0
Router 4 ,142,0,0,0,0
Router 5 ,0,0,0,0,0
Router 6 ,0,0,0,0,0
Router 7 ,0,0,0,0,0
Router 8 ,0,0,0,0,0
Router 9 ,161,0,0,0,0
Router 10 ,0,0,0,0,0
Router 11 ,0,0,0,0,0
Router 12 ,0,0,0,0,126
Router 13 ,1,0,0,0,0
Router 14 ,0,0,0,0,0
